data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3;;;;;;;;;;;;;;;;;;;;
9508416,710,SAF17658,17658,22 September 2022,2022,1,Protests,Peaceful protest,Protesters (South Africa),Labour Group (South Africa),6,,,0,60,Southern Africa,South Africa,Limpopo,Waterberg,Mogalakwena,Mokopane,-24.1944,29.0097,1,Sowetan (South Africa),National,On 22 September 2022, workers blockaded entrances to the Mogalakwena local municipality offices with construction vehicles in Mokopane (Mogalakwena, Waterberg, Limpopo) against the appointment of the municipal manager. [size=no report],0,1664832988,ZAF;;;;;;;;;;;;;;;;;;;;
9499111,710,SAF17615,17615,21 September 2022,2022,1,Protests,Peaceful protest,Protesters (South Africa),Labour Group (South Africa),6,,,0,60,Southern Africa,South Africa,Gauteng,City of Tshwane,City of Tshwane,Pretoria,-25.7449,28.1878,1,Daily News (South Africa),National,On 21 September 2022, Northwest Transport Investment workers shut operations and entrances to the Department of Transport building in Pretoria (City of Tshwane, Gauteng), demanding payment of outstanding salaries. [size=no report],0,1664231916,ZAF;;;;;;;;;;;;;;;;;;;;
9499112,710,SAF17618,17618,21 September 2022,2022,1,Protests,Peaceful protest,Protesters (South Africa),POPCRU: Police and Prisons Civil Rights Union (South Africa); Police Forces of South Africa (1994-),6,,,0,60,Southern Africa,South Africa,Gauteng,City of Tshwane,City of Tshwane,Pretoria,-25.7449,28.1878,1,Daily News (South Africa),National,On 21 September 2022, for the second day, POPCRU members marched to Union Buildings in Pretoria (City of Tshwane, Gauteng), calling for a 10% salary increase and resources. [size=no report],0,1664231916,ZAF;;;;;;;;;;;;;;;;;;;
9499120,710,SAF17651,17651,21 September 2022,2022,1,Protests,Peaceful protest,Protesters (South Africa),,6,,,0,60,Southern Africa,South Africa,Gauteng,City of Tshwane,City of Tshwane,Soshanguve,-25.4729,28.0992,1,Daily Sun (South Africa),National,On 21 September 2022, for the second day, protesters marched to the municipal offices in Soshanguve (City of Tshwane, Gauteng), demanding lower municipal service rates. [size=no report],0,1664231916,ZAF;;;;;;;;;;;;;;;;;;;;
9499146,710,SAF17650,17650,21 September 2022,2022,2,Protests,Peaceful protest,Protesters (South Africa),,6,,,0,60,Southern Africa,South Africa,Gauteng,City of Tshwane,City of Tshwane,Olievenhoutbosch,-25.9166,28.1045,1,GroundUp,National,Around 21 September 2022 (as reported), Choba informal settlement residents held a demonstration in Olievenhoutbosch (City of Tshwane, Gauteng), calling for water tanks, housing projects, and better services. [size=no report],0,1664231916,ZAF;;;;;;;;;;;;;;;;;;;;
9498980,710,SAF17619,17619,20 September 2022,2022,1,Protests,Peaceful protest,Protesters (South Africa),POPCRU: Police and Prisons Civil Rights Union (South Africa); COSATU: Congress of South African Trade Unions; SANCO Youth Congress: South African National Civics Organization Youth Congress; SACP: South African Communist Party; Police Forces of South Africa (1994-),6,,,0,60,Southern Africa,South Africa,Gauteng,City of Tshwane,City of Tshwane,Pretoria,-25.7449,28.1878,1,Sowetan (South Africa); Herald (South Africa); News24 (South Africa); Daily Dispatch; SABC News; EWN; Times (South Africa),National,On 20 September 2022, around a thousand POPCRU members marched to Union Buildings in Pretoria (City of Tshwane, Gauteng), calling for a 10% salary increase and resources. Protesters booed the Police Minister while addressing the crowd. COSATU, SANCO, and SACP members joined the protest. [size=around 1,000],0,1664231915,ZAF;;;;;;;;;;
9498981,710,SAF17620,17620,20 September 2022,2022,1,Protests,Peaceful protest,Protesters (South Africa),SAFTU: South African Federation of Trade Unions; Labour Group (South Africa),6,,,0,60,Southern Africa,South Africa,Gauteng,City of Tshwane,City of Tshwane,Centurion,-25.8589,28.1858,1,GroundUp; EWN,National,On 20 September 2022, a small group of SAFTU members gathered outside the Public Service Coordinating Bargaining Council offices in Centurion (City of Tshwane, Gauteng), calling for an 8% wage increase. [size=small],0,1664231915,ZAF;;;;;;;;;;;;;;;;;;
9499102,710,SAF17626,17626,20 September 2022,2022,1,Riots,Mob violence,Rioters (South Africa),Vigilante Group (South Africa),5,,,0,50,Southern Africa,South Africa,KwaZulu-Natal,Umgungundlovu,The Msunduzi,Pietermaritzburg,-29.6167,30.3833,1,Citizen (South Africa),National,On 20 September 2022, a mob looted a shop after witnessing the shop owner beating a man mistaken for a theft suspect in Pietermaritzburg (The Msunduzi, Umgungundlovu, KwaZulu-Natal). [size=no report],0,1664231916,ZAF;;;;;;;;;;;;;;;;;;;;
9499121,710,SAF17649,17649,20 September 2022,2022,1,Protests,Peaceful protest,Protesters (South Africa),,6,,,0,60,Southern Africa,South Africa,Gauteng,City of Tshwane,City of Tshwane,Soshanguve,-25.4729,28.0992,1,Daily Sun (South Africa),National,On 20 September 2022, protesters marched to the municipal offices in Soshanguve (City of Tshwane, Gauteng), demanding lower municipal service rates. [size=no report],0,1664231916,ZAF;;;;;;;;;;;;;;;;;;;;
9499145,710,SAF17613,17613,20 September 2022,2022,1,Protests,Peaceful protest,Protesters (South Africa),Farmers (South Africa); Women (South Africa),6,,,0,60,Southern Africa,South Africa,Western Cape,Cape Winelands,Breede Valley,Worcester,-33.6465,19.4485,1,GroundUp,National,On 20 September 2022, over 150 farm women marched in Worcester (Breede Valley, Cape Winelands, Western Cape) against the use of harmful pesticides. Protesters demanded updated pesticide regulations. [size=over 150],0,1664231916,ZAF;;;;;;;;;;;;;;;;;;;
9499217,710,SAF17614,17614,20 September 2022,2022,1,Protests,Peaceful protest,Protesters (South Africa),Labour Group (South Africa),6,,,0,60,Southern Africa,South Africa,Limpopo,Waterberg,Mogalakwena,Mokopane,-24.1944,29.0097,1,Sowetan (South Africa),National,On 20 September 2022, workers shut down Mogalakwena local municipality offices and chased out its mayor and councilors in Mokopane (Mogalakwena, Waterberg, Limpopo) against the appointment of the municipal manager. [size=no report],0,1664231916,ZAF;;;;;;;;;;;;;;;;;;;;
9508318,710,SAF17673,17673,20 September 2022,2022,1,Riots,Mob violence,Rioters (South Africa),Vigilante Group (South Africa),5,Civilians (South Africa),,7,57,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town - Khayelitsha,-34.0393,18.6792,1,Daily Sun (South Africa),National,On 20 September 2022, a mob assaulted a man accused of killing his girlfriend in Cape Town - Khayelitsha (City of Cape Town, Western Cape). Police rescued him. [size=no report],0,1664832988,ZAF;;;;;;;;;;;;;;;;;;;;
9498979,710,SAF17611,17611,19 September 2022,2022,1,Protests,Peaceful protest,Protesters (South Africa),ANC: African National Congress,6,,,0,60,Southern Africa,South Africa,Gauteng,City of Johannesburg,City of Johannesburg,Johannesburg,-26.2023,28.0436,1,News24 (South Africa); Daily News (South Africa); EWN; Citizen (South Africa),National,On 19 September 2022, about a hundred ANC employees picketed outside the Luthuli House in Johannesburg (City of Johannesburg, Gauteng), demanding payment of outstanding salaries as part of a national shutdown. [size=about 100],0,1664231915,ZAF;;;;;;;;;;;;;;;;;
9498987,710,SAF17647,17647,19 September 2022,2022,1,Protests,Peaceful protest,Protesters (South Africa),,6,,,0,60,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town - Kensington,-33.9154,18.5017,1,Daily News (South Africa); GroundUp,National,On 19 September 2022, about 20 protesters blocked (means unspecified) roads in Cape Town - Kensington (City of Cape Town, Western Cape), calling for water, electricity, and toilets. [size=about 20],0,1664231915,ZAF;;;;;;;;;;;;;;;;;;;
9499110,710,SAF17648,17648,19 September 2022,2022,1,Protests,Peaceful protest,Protesters (South Africa),,6,,,0,60,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Strand,-34.1069,18.8275,1,Daily News (South Africa),National,On 19 September 2022, Nomzamo residents blocked (means unspecified) roads in Strand (City of Cape Town, Western Cape), calling for water, electricity, and housing. [size=no report],0,1664231916,ZAF;;;;;;;;;;;;;;;;;;;;
9499113,710,SAF17612,17612,19 September 2022,2022,1,Protests,Peaceful protest,Protesters (South Africa),ANC: African National Congress,6,,,0,60,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town,-33.9253,18.4239,1,Daily News (South Africa),National,On 19 September 2022, ANC employees picketed outside the Constitution House in Cape Town (City of Cape Town, Western Cape), demanding payment of outstanding salaries as part of a national shutdown. [size=no report],0,1664231916,ZAF;;;;;;;;;;;;;;;;;;;;
9499118,710,SAF17645,17645,19 September 2022,2022,1,Protests,Peaceful protest,Protesters (South Africa),,6,,,0,60,Southern Africa,South Africa,KwaZulu-Natal,eThekwini,eThekwini,Pinetown,-29.8207,30.8867,1,Daily News (South Africa),National,On 19 September 2022, protesters gathered outside the Magistrates Court in Pinetown (eThekwini, KwaZulu-Natal), calling on courts to deny bail for a police sergeant accused of kidnapping and killing a young man. [size=no report],0,1664231916,ZAF;;;;;;;;;;;;;;;;;;;;
9499142,710,SAF17642,17642,19 September 2022,2022,1,Protests,Peaceful protest,Protesters (South Africa),,6,,,0,60,Southern Africa,South Africa,Eastern Cape,Sarah Baartman,Makana,Alicedale,-33.3169,26.0834,1,Grocotts Mail,National,On 19 September 2022, protesters marched to the Community Police Station in Alicedale (Makana, Sarah Baartman, Eastern Cape), demanding police action and justice for a three-year-old girl killed on 5 September. [size=no report],0,1664231916,ZAF;;;;;;;;;;;;;;;;;;;;
9499144,710,SAF17644,17644,19 September 2022,2022,1,Riots,Violent demonstration,Rioters (South Africa),,5,Police Forces of South Africa (1994-),,1,15,Southern Africa,South Africa,Gauteng,Ekurhuleni,Ekurhuleni,Brakpan,-26.2366,28.3694,1,GroundUp,National,On 19 September 2022, demonstrators barricaded roads with burning tires and rocks in Brakpan (Ekurhuleni, Gauteng), calling for electricity. Police fired teargas and rubber bullets to disperse the crowd and arrested three people. There are reports that police fired teargas in homes near the demonstration. [size=no report],0,1664231916,ZAF;;;;;;;;;;;;;;;;;;;;
9499147,710,SAF17643,17643,19 September 2022,2022,1,Protests,Peaceful protest,Protesters (South Africa),,6,,,0,60,Southern Africa,South Africa,Free State,Thabo Mofutsanyane,Maluti a Phofung,Harrismith,-28.2833,29.1333,1,GroundUp,National,On 19 September 2022, community members gathered outside the municipality in Harrismith (Maluti a Phofung, Thabo Mofutsanyane, Free State) against a two-week power outage. Protesters demanded reimbursement for losses and service maintenance plans to prevent future failures. [size=no report],0,1664231916,ZAF;;;;;;;;;;;;;;;;;;;;
